iter	Passed	Remaining
449	1086	1328
450	1089	1325
451	1091	1323
452	1094	1321
453	1095	1317
454	1097	1314
455	1099	1311
456	1101	1308
457	1103	1305
458	1105	1303
459	1108	1300
460	1109	1297
461	1111	1294
462	1113	1291
463	1115	1288
464	1117	1285
465	1118	1282
466	1121	1280
467	1123	1277
468	1125	1274
469	1127	1271
470	1128	1267
471	1130	1264
472	1133	1262
473	1134	1259
474	1137	1257
475	1139	1254
476	1141	1251
477	1143	1248
478	1145	1245
479	1146	1242
480	1148	1239
481	1150	1236
482	1152	1233
483	1154	1231
484	1156	1228
485	1158	1225
486	1160	1222
487	1161	1218
488	1164	1216
489	1166	1213
490	1168	1211
491	1170	1208
492	1172	1205
493	1174	1202
494	1175	1199
495	1177	1196
496	1179	1194
497	1181	1191
498	1183	1187
499	1186	1186
500	1188	1184
501	1191	1181
502	1193	1179
503	1195	1176
504	1197	1174
505	1200	1171
506	1202	1169
507	1204	1167
508	1206	1164
509	1208	1160
510	1209	1157
511	1212	1155
512	1214	1152
513	1215	1149
514	1218	1147
515	1220	1145
516	1222	1142
517	1224	1139
518	1225	1136
519	1227	1133
520	1229	1130
521	1231	1127
522	1233	1125
523	1236	1122
524	1237	1119
525	1239	1117
526	1241	1114
527	1243	1111
528	1245	1109
529	1247	1106
530	1249	1103
531	1252	1101
532	1254	1098
533	1255	1095
534	1257	1093
535	1259	1090
536	1261	1087
537	1263	1084
538	1265	1081
539	1267	1079
540	1269	1077
541	1271	1074
542	1272	1071
543	1274	1068
544	1276	1065
545	1278	1063
546	1280	1060
547	1283	1058
548	1285	1055
549	1286	1052
550	1288	1050
551	1290	1047
552	1292	1044
553	1294	1042
554	1296	1039
555	1298	1037
556	1300	1034
557	1302	1031
558	1304	1029
559	1306	1026
560	1307	1023
561	1310	1021
562	1311	1018
563	1314	1016
564	1317	1013
565	1318	1011
566	1320	1008
567	1322	1005
568	1323	1002
569	1325	1000
570	1327	997
571	1331	995
572	1333	993
573	1335	991
574	1337	988
575	1340	986
576	1342	984
577	1344	981
578	1347	979
579	1348	976
580	1350	973
581	1351	970
582	1354	968
583	1355	965
584	1357	963
585	1359	960
586	1362	958
587	1363	955
588	1365	952
589	1367	950
590	1368	947
591	1370	944
592	1372	941
593	1374	939
594	1375	936
595	1378	934
596	1380	931
597	1382	929
598	1383	926
599	1385	923
600	1387	921
601	1389	918
602	1391	916
603	1393	913
604	1395	911
605	1397	908
606	1399	905
607	1400	903
608	1402	900
609	1404	897
610	1406	895
611	1408	892
612	1410	890
613	1412	887
614	1413	885
615	1415	882
616	1417	879
617	1419	877
618	1420	874
619	1423	872
620	1424	869
621	1427	867
622	1429	865
623	1431	862
624	1433	860
625	1435	857
626	1436	854
627	1438	852
628	1440	849
629	1443	847
630	1445	845
631	1447	842
632	1448	840
633	1450	837
634	1452	834
635	1454	832
636	1456	830
637	1459	828
638	1462	825
639	1463	823
640	1465	820
641	1467	818
642	1469	815
643	1470	813
644	1472	810
645	1474	808
646	1477	805
647	1478	803
648	1480	800
649	1482	798
650	1483	795
651	1485	793
652	1487	790
653	1489	787
654	1492	786
655	1494	783
656	1495	781
657	1497	778
658	1499	776
659	1501	773
660	1503	770
661	1504	768
662	1507	766
663	1509	763
664	1511	761
665	1513	758
666	1515	756
667	1516	753
668	1518	751
669	1520	749
670	1522	746
671	1525	744
672	1527	742
673	1528	739
674	1530	736
675	1532	734
676	1533	731
677	1536	729
678	1537	726
679	1540	724
680	1542	722
681	1544	719
682	1545	717
683	1547	714
684	1549	712
685	1550	709
686	1552	707
687	1555	705
688	1557	703
689	1559	700
690	1561	698
691	1562	695
692	1564	693
693	1566	690
694	1568	688
695	1570	685
696	1573	683
697	1575	681
698	1577	679
699	1578	676
700	1580	674
701	1582	671
702	1584	669
703	1586	666
704	1588	664
705	1590	662
706	1592	659
707	1594	657
708	1596	655
709	1597	652
710	1599	650
711	1601	647
712	1604	645
713	1606	643
714	1607	640
715	1609	638
716	1610	635
717	1612	633
718	1614	631
719	1616	628
720	1618	626
721	1620	624
722	1622	621
723	1624	619
724	1626	616
725	1628	614
726	1629	612
727	1631	609
728	1633	607
729	1635	605
730	1637	602
731	1639	600
732	1641	597
733	1642	595
734	1644	593
735	1646	590
736	1648	588
737	1653	586
738	1655	584
739	1658	582
740	1660	580
741	1662	578
742	1664	575
743	1667	573
744	1669	571
745	1671	569
746	1673	566
747	1674	564
748	1676	561
749	1678	559
750	1680	557
751	1682	554
752	1684	552
753	1686	550
754	1688	547
755	1689	545
756	1691	542
757	1693	540
758	1695	538
759	1697	535
760	1698	533
761	1702	531
762	1703	529
763	1705	526
764	1706	524
765	1708	521
766	1710	519
767	1712	517
768	1714	514
769	1715	512
770	1718	510
771	1720	507
772	1721	505
773	1723	503
774	1725	500
775	1727	498
776	1728	496
777	1730	493
778	1733	491
779	1735	489
780	1736	487
781	1738	484
782	1740	482
783	1741	479
784	1743	477
785	1745	475
786	1747	472
787	1750	470
788	1752	468
789	1754	466
790	1755	463
791	1757	461
792	1759	459
793	1761	456
794	1763	454
795	1764	452
796	1767	450
797	1768	447
798	1770	445
799	1772	443
800	1773	440
801	1775	438
802	1777	436
803	1779	433
804	1781	431
805	1783	429
806	1784	426
807	1786	424
808	1788	422
809	1790	419
810	1791	417
811	1793	415
812	1795	412
813	1797	410
814	1799	408
815	1800	406
816	1802	403
817	1804	401
818	1805	399
819	1807	396
820	1809	394
821	1811	392
822	1813	389
823	1815	387
824	1816	385
825	1818	383
826	1820	380
827	1821	378
828	1823	376
829	1825	373
830	1826	371
831	1829	369
832	1830	367
833	1832	364
834	1834	362
835	1836	360
836	1837	357
837	1839	355
838	1841	353
839	1843	351
840	1845	348
841	1846	346
842	1848	344
843	1850	342
844	1852	339
845	1853	337
846	1855	335
847	1857	332
848	1859	330
849	1861	328
850	1863	326
851	1864	323
852	1866	321
853	1867	319
854	1869	317
855	1871	314
856	1872	312
857	1875	310
858	1876	308
859	1878	305
860	1880	303
861	1881	301
862	1883	299
863	1885	296
864	1887	294
865	1888	292
866	1891	290
867	1892	287
868	1894	285
869	1896	283
870	1898	281
871	1899	278
872	1901	276
873	1903	274
874	1905	272
875	1906	269
876	1908	267
877	1910	265
878	1911	263
879	1913	260
880	1915	258
881	1917	256
882	1918	254
883	1920	252
884	1922	249
885	1924	247
886	1925	245
887	1927	243
888	1929	240
889	1931	238
890	1932	236
891	1934	234
892	1936	232
893	1938	229
894	1939	227
895	1941	225
896	1943	223
897	1945	220
898	1946	218
899	1948	216
900	1949	214
901	1952	212
902	1955	210
903	1958	208
904	1961	205
905	1963	203
906	1965	201
907	1967	199
908	1968	197
909	1970	194
910	1972	192
911	1974	190
912	1975	188
913	1977	186
914	1979	183
915	1981	181
916	1983	179
917	1985	177
918	1986	175
919	1988	172
920	1990	170
921	1992	168
922	1993	166
923	1995	164
924	1997	161
925	1998	159
926	2000	157
927	2002	155
928	2004	153
929	2006	150
930	2007	148
931	2009	146
932	2011	144
933	2013	142
934	2015	140
935	2016	137
936	2018	135
937	2020	133
938	2022	131
939	2024	129
940	2026	127
941	2028	124
942	2030	122
943	2032	120
944	2033	118
945	2035	116
946	2037	114
947	2039	111
948	2041	109
949	2043	107
950	2044	105
951	2046	103
952	2048	101
953	2049	98
954	2051	96
955	2053	94
956	2055	92
957	2057	90
958	2059	88
959	2061	85
960	2062	83
961	2064	81
962	2066	79
963	2067	77
964	2069	75
965	2071	72
966	2073	70
967	2076	68
968	2079	66
969	2081	64
970	2084	62
971	2087	60
972	2090	58
973	2093	55
974	2096	53
975	2098	51
976	2101	49
977	2103	47
978	2106	45
979	2108	43
980	2110	40
981	2112	38
982	2114	36
983	2116	34
984	2118	32
985	2120	30
986	2122	27
987	2123	25
988	2125	23
989	2127	21
990	2129	19
991	2131	17
992	2132	15
993	2134	12
994	2136	10
995	2138	8
996	2140	6
997	2141	4
998	2143	2
999	2145	0
